order_id,customer_id
1,10
2,11
3,12
4,13
5,14
6,15
7,16
8,17
9,18
10,19
11,14
12,15
13,16
14,17
15,18
16,19
17,20
18,10
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,56
39,57
40,58
41,59
42,60
43,51
44,45
45,10
46,39
47,40
48,41
49,42
50,43
51,44
52,45
53,46
54,47
55,48
56,49
57,50
58,51
59,52
60,53
61,54
62,55
63,56
64,57
65,56
66,56
67,56
68,56
69,10
70,67
71,68
72,69
73,70
74,71
75,72
76,71
77,70
78,69
79,68
80,67
81,66
82,65
83,64
84,63
85,62
86,61
87,60
88,59
90,58
91,59
92,60
93,61
94,19
95,19
96,19
97,59
98,59
99,59
100,47
101,47
102,47
103,47
104,47
105,21
106,21
107,19
108,20
109,21
110,22
111,23
112,24
113,60
114,44
115,60
116,60
117,60
118,61
119,62
120,63
121,64
122,65
123,66
124,67
125,68
126,69
127,26
128,71
129,70
130,71
131,72
132,73
133,74
134,36
135,36
136,77
137,78
138,81
139,10
140,72
141,73
142,74
143,75
144,76
150,77
151,78
152,79
153,80
154,80
155,80
156,29
157,29
158,29
159,29
160,29
161,30
162,31
163,32
164,33
165,34
166,35
167,36
168,37
169,38
170,39
171,40
172,41
173,42
174,43
175,44
176,45
177,46
178,46
179,48
180,49
181,50
182,51
183,52
184,53
185,54
186,55
187,56
188,57
189,58
190,59
191,60
192,10
193,4
194,5
195,6
196,7
197,8
198,9
199,10
200,11
201,12
202,13
203,4
204,5
205,6
206,7
207,8
208,9
209,10
210,11
211,12
212,13
213,26
